kingdom;phylum;class;order;family;genus;species;taxa
k__Bacteria;p__Firmicutes;c__CFGB72899;o__OFGB72899;f__FGB72899;g__GGB4610;s__GGB4610_SGB6384;t__SGB6384
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_unclassified;g__Candidatus_Soleaferrea;s__Candidatus_Soleaferrea_massiliensis;t__SGB29379
k__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__GGB79819;s__GGB79819_SGB4702;t__SGB4702
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Oscillospiraceae;g__Oscillospiraceae_unclassified;s__Ruminococcaceae_bacterium_Marseille_P2935;t__SGB29346
k__Bacteria;p__Firmicutes;c__CFGB9119;o__OFGB9119;f__FGB9119;g__GGB4726;s__GGB4726_SGB6546;t__SGB6546
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_unclassified;f__Clostridia_unclassified;g__GGB3451;s__GGB3451_SGB4605;t__SGB4605
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__GGB27791;s__GGB27791_SGB40207;t__SGB40207
k__Bacteria;p__Firmicutes;c__CFGB76101;o__OFGB76101;f__FGB76101;g__GGB3499;s__GGB3499_SGB4674;t__SGB4674
k__Bacteria;p__Bacteroidetes;c__CFGB76111;o__OFGB76111;f__FGB76111;g__GGB27782;s__GGB27782_SGB40196;t__SGB40196
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella_SGB6532;t__SGB6532
